path,status,purpose,served_live_yes_no,truth_source_yes_no,notes
vercel.json,ACTIVE_LIVE,Vercel deploy contract and output directory,no,no,"Defines pages-dist output and /hard-copy rewrite."
scripts/build-pages-dist.js,ACTIVE_LIVE,Build packager for production artifact,no,no,"Copies root/data/processed/public assets into pages-dist."
pages-dist/,GENERATED,Vercel-served static artifact for production,yes,no,"Generated output; do not hand-edit as source of truth."
index.html,ACTIVE_LIVE,Primary Builder route source,yes,no,"Served as / and /index.html."
builder.html,ACTIVE_LIVE,Builder alias route source,yes,no,"Thin alias shell route."
research.html,ACTIVE_LIVE,Primary Hunt Research page source,yes,no,"Live and functional."
hunt-research.html,LIKELY_DEAD,Research duplicate/alias route source,yes,no,"Loads but not primary nav target."
verify.html,ACTIVE_LIVE,Primary Outfitter directory page source,yes,no,"Live and functional."
vetting.html,LIKELY_DEAD,Outfitter duplicate/alias route source,yes,no,"Loads but not primary nav target."
hard-copy.html,ACTIVE_LIVE,Primary public library page source,yes,no,"Live with fallback 404 noise."
hard-data.html,ACTIVE_LOCAL,Hard-data manifest utility page,yes,no,"Reachable but not primary navigation."
coverage.html,REVIEW,Coverage diagnostics page shell,yes,no,"Loads but runtime feed missing -> page broken."
verify.htmlm,OBSOLETE,Legacy typo/alias route,yes,no,"Returns 200 but browser treats like download candidate; retire or redirect."
app.js,ACTIVE_LIVE,Builder runtime application logic,yes,no,"Core hunt selection/map behavior."
config.js,ACTIVE_LIVE,Runtime source ordering and feature config,yes,no,"Defines Cloudflare-first research feed order."
data.js,ACTIVE_LIVE,Shared runtime data loading/parsing,yes,no,"Used by Builder and related pages."
hunt-research.js,ACTIVE_LIVE,Research ladder/odds rendering logic,yes,no,"Consumes runtime engine/master/ladder/reference feeds."
assets/js/research-outlook-dashboard.js,ACTIVE_LIVE,Research outlook dashboard layer,yes,no,"Loads outlook + management context with fallback sources."
assets/js/hard-copy-public-library.js,ACTIVE_LIVE,Hard-copy document library logic,yes,no,"Loads documents.json and handles folder/card rendering."
coverage.js,REVIEW,Coverage page data loader,yes,no,"Depends on missing processed_data/coverage-matrix.json."
style.css,ACTIVE_LIVE,Global shared styling,yes,no,"Loaded by all major pages."
assets/css/hard-copy-public-library.css,ACTIVE_LIVE,Hard-copy page-specific styling,yes,no,"Required for hard-copy layout."
assets/logos/google-maps-logo.png,ACTIVE_LIVE,Builder map-mode UI asset,yes,no,"404s were historical; currently present in deployment."
assets/logos/google_earth_logo.png,ACTIVE_LIVE,Builder map-mode UI asset,yes,no,"Loaded by map mode selector."
assets/logos/DWR-LOGO-maps.png,ACTIVE_LIVE,Builder map-mode UI asset,yes,no,"Loaded by map mode selector."
assets/logos/tan-topo.png,ACTIVE_LIVE,Shared brand/style texture asset,yes,no,"Previously 404 in broken deploy snapshot."
public/hard-copy/data/documents.json,ACTIVE_LIVE,Primary hard-copy documents feed,yes,no,"Canonical hard-copy page contract."
public/hard-copy/DISPLAY DATA/,ACTIVE_LIVE,Public library PDF/XLSX assets directory,yes,no,"Served through rewrite and direct public path."
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,ACTIVE_LOCAL,Canonical 2026 hunt/unit permit truth source,no,yes,"Authoritative truth source per AGENTS policy."
processed_data/hard_data_exports/hunt_tables/2026/CLEAN_XLXS_STAGED/MASTER.xlsx,ACTIVE_LOCAL,Derived export workbook recipient,no,no,"Recipient/export; reconciled from DATABASE."
generated/audits/master_reconciliation_2026/master_database_2026_reconciliation_report.json,ACTIVE_LOCAL,Reconciliation audit evidence artifact,no,no,"Shows DATABASE as truth and MASTER as recipient/export."
generated/audits/master_reconciliation_2026/master_database_2026_reconciliation_changes.csv,ACTIVE_LOCAL,Reconciliation row-change evidence artifact,no,no,"Operational audit output."
data/hunt-master-canonical-2026-foundation.json,ACTIVE_LIVE,Builder canonical hunt row runtime feed,yes,no,"Current local static canonical source."
data/hunt-master-canonical-2026-source-of-truth.json,ACTIVE_LIVE,Builder canonical backup runtime feed,yes,no,"Fallback candidate in config ordering."
processed_data/hunt-master-canonical-2026-source-of-truth.json,ACTIVE_LOCAL,Additional canonical fallback feed,no,no,"Referenced as local fallback; may be absent in some builds."
processed_data/display-boundary-index-2026.json,ACTIVE_LIVE,Boundary manifest/index feed for Builder,yes,no,"Used for boundary resolution."
processed_data/display-boundary-index-2026.csv,ACTIVE_LOCAL,Boundary manifest CSV fallback,no,no,"Secondary fallback to JSON manifest."
data/hunt_boundaries.geojson,ACTIVE_LIVE,Builder finalized boundary geometry feed,yes,no,"Actively loaded."
data/hunt-boundaries-lite.geojson,ACTIVE_LIVE,Builder lightweight boundary geometry fallback,yes,no,"Fallback geometry source."
processed_data/statewide_composite_boundaries_2026_FINAL_LOCKED.geojson,ACTIVE_LIVE,Builder composite boundary source,yes,no,"Primary composite source in config."
processed_data/statewide_composite_boundaries_2026.geojson,ACTIVE_LOCAL,Builder composite fallback feed,no,no,"Fallback source."
processed_data/composite_hunt_unit_mapping_2026.geojson,REVIEW,Builder composite mapping feed,yes,no,"Returns 200 but payload appears invalid/LFS pointer in production parse."
data/statewide-composite-members-2026-lite.geojson,ACTIVE_LIVE,Builder composite member fallback feed,yes,no,"Used when composite mapping file fails."
data/conservation-permit-areas.json,ACTIVE_LIVE,Builder conservation overlay feed,yes,no,"Required for conservation overlay behavior."
data/conservation-permit-hunt-table-2025-27.json,ACTIVE_LIVE,Builder conservation hunt mapping feed,yes,no,"Required for conservation lookups."
data/outfitters-public.json,ACTIVE_LIVE,Builder + Verify outfitter public feed fallback,yes,no,"Served locally and via processed contracts."
data/outfitters.json,ACTIVE_LOCAL,Legacy/full outfitter fallback feed,no,no,"Still referenced as fallback candidate."
processed_data/public_contracts/outfitters-public.json,ACTIVE_LIVE,Verify primary contract feed,yes,no,"Currently serving 200."
processed_data/public_contracts/hunt_application_outlook.json,ACTIVE_LOCAL,Research outlook JSON contract,no,no,"Used by dashboard fallback; Cloudflare often first."
processed_data/public_contracts/hunt_predictions.json,ACTIVE_LOCAL,Public prediction contract output,no,no,"Derived contract for external consumers."
processed_data/public_contracts/hunt_units.geojson,ACTIVE_LOCAL,Public hunt units geometry contract,no,no,"Derived from runtime boundary inputs."
processed_data/public_contracts/source_snapshots.json,ACTIVE_LOCAL,Public source lineage contract,no,no,"Snapshot metadata output."
data/public_contract_summary.json,ACTIVE_LIVE,Public contract summary feed,yes,no,"Referenced by public contract workflows."
processed_data/point_ladder_view.csv,ACTIVE_LOCAL,Research ladder runtime file local copy,no,no,"Research currently loads Cloudflare-first."
processed_data/draw_reality_engine_v2.csv,ACTIVE_LOCAL,Observed runtime draw engine local copy,no,no,"Cloudflare-first for live Research."
processed_data/draw_reality_engine_predictive_v2.csv,ACTIVE_LOCAL,Predictive runtime draw engine local copy,no,no,"Used when predictive mode enabled."
processed_data/hunt_master_enriched.csv,REVIEW,Research comparable/master runtime local copy,no,no,"Missing locally in this checkout; Cloudflare feed currently supplies live runtime."
processed_data/hunt_unit_reference_linked.csv,REVIEW,Research linked reference runtime local copy,no,no,"Missing locally in this checkout; Cloudflare feed currently supplies live runtime."
processed_data/draw_reality_engine.csv,LIKELY_DEAD,Legacy observed engine feed variant,no,no,"Still listed in fallbacks; missing locally."
processed_data/draw_reality_view.csv,LIKELY_DEAD,Display-only legacy draw view,no,no,"Not used in active runtime source ordering."
processed_data/harvest_master.csv,REFERENCE,Harvest reference surface for quality context,no,no,"Not in active Builder runtime path."
processed_data/harvest_quality_features_all_years_by_hunt_code.csv,REFERENCE,Harvest quality feature reference,no,no,"Reference/evidence layer; not active page-blocking runtime."
processed_data/harvest_age_features_by_hunt_code_all_years.csv,REFERENCE,Historical age-feature layer,no,no,"Reference layer; not direct page runtime."
processed_data/harvest_age_features_by_hunt_code_latest.csv,REFERENCE,Latest age-feature layer,no,no,"Reference layer for quality context."
engine/utah/,ACTIVE_LOCAL,Deterministic Utah draw and materialization engine modules,no,no,"Production-support pipeline code, not directly browser-served."
engine/utah_bonus_predictive/,ACTIVE_LOCAL,Bonus-point predictive engine modules,no,no,"Generates predictive runtime outputs."
