source_file,target_file_or_page,join_keys,required_columns,missing_required_columns,row_count,matched_hunt_code_count,unmatched_hunt_code_count,sync_status,recommended_fix
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,Hunt Builder page,hunt_code|boundary_id,hunt_code|hunt_name|species,,1449,0,1449,NO_HUNT_CODE_MATCHES,Keep DATABASE aligned to reference/boundary rows.
processed_data/hunt_unit_reference_linked.csv,Hunt Research page,hunt_code|residency,hunt_code|species,hunt_code|species,0,0,0,MISSING_COLUMNS,"Populate/review columns: hunt_code, species"
processed_data/point_ladder_view.csv,Point ladder,hunt_code|residency|points,hunt_code|residency|points,,91712,0,1449,NO_HUNT_CODE_MATCHES,Generate ladder/status rows for missing current hunts.
processed_data/draw_reality_engine_predictive_v2.csv,Predictive draw probability,hunt_code|residency|points,hunt_code|residency|points|p_draw_mean,hunt_code|residency|points|p_draw_mean,0,0,0,MISSING_COLUMNS,"Populate/review columns: hunt_code, residency, points, p_draw_mean"
processed_data/harvest_quality_features_all_years_by_hunt_code.csv,Harvest quality,hunt_code|reported_hunt_year,hunt_code,hunt_code,0,0,0,MISSING_COLUMNS,Populate/review columns: hunt_code
processed_data/harvest_age_features_by_hunt_code_latest.csv,Age quality,hunt_code|reported_hunt_year,hunt_code|average_harvest_age,hunt_code|average_harvest_age,0,0,0,MISSING_COLUMNS,"Populate/review columns: hunt_code, average_harvest_age"
processed_data/management_context/hunt_management_objective_context.json,State management objective comparison,hunt_code|boundary_id,hunt_code,,632,0,632,NO_HUNT_CODE_MATCHES,Render benchmark-only unless observed values are mapped.
processed_data/hunt_master_enriched.csv,Comparable hunts,species|hunt_type|residency|hunt_code,hunt_code|species,hunt_code|species,0,0,0,MISSING_COLUMNS,"Populate/review columns: hunt_code, species"
processed_data/hard_data_exports + processed_data/library,Public hard-copy/library page,hunt_code|boundary_id,hunt_code|hunt_name|species,hunt_code|hunt_name|species,0,0,0,MISSING_COLUMNS,"Populate/review columns: hunt_code, hunt_name, species"
data/outfitters-public.json,Outfitter verification/matching page,boundary_id|hunt_code|species,,,11,0,0,SYNC_CHECKED,Add reviewed coverage links where possible.
