hunt_code,hunt_name,species,hanumber_total,hunttable_total,utahdraws_total,database_total,recommended_total,evidence_sources,discrepancy_status,notes
BI6505,Henry Mtns,Bison,11,,10,11,11,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
BI6536,"Book Cliffs, Bitter Creek",Bison,15,,14,15,15,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
DA1009,"Pine Valley, Enterprise",Deer,25,20,,25,25,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
DA1018,"Pine Valley, New Harmony",Deer,20,15,,20,20,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
DA1033,"San Juan, Monticello",Deer,5,10,,5,5,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1010,"Cache, Rich",Elk,20,35,,20,20,boundary_xlsx|conservation_area|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1011,"Cache, Richards Hollow",Elk,10,20,,10,10,boundary_xlsx|conservation_area|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1021,Nebo,Elk,230,280,,230,230,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1033,Kamas,Elk,125,100,,125,125,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1035,"Kamas, Oakley",Elk,125,100,,125,125,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1054,"Nine Mile, West Anthro",Elk,50,100,,50,50,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1063,Ogden,Elk,75,100,,75,75,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1069,Panguitch Lake,Elk,35,25,,35,35,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1129,Deseret CWMU,Elk,425,360,,425,425,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1134,Ensign Ranches CWMU,Elk,60,48,,60,60,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1139,Hardscrabble CWMU,Elk,10,5,,10,10,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1149,Minnie Maud Ridge CWMU,Elk,15,16,,15,15,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1193,"Cache, Rich",Elk,20,35,,20,20,boundary_xlsx|conservation_area|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1208,Nebo,Elk,275,325,,275,275,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1222,"Beaver, East",Elk,30,40,,30,30,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1223,"Beaver, East",Elk,30,40,,30,30,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1251,"Southwest Desert, Burbank/Garrison",Elk,15,12,,15,15,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1266,"Box Elder, Hansel Mtn",Elk,20,30,,20,20,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1267,Cache,Elk,90,200,,90,90,boundary_id_to_hunt_code|boundary_xlsx|conservation_area|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1269,Ogden (Excludes Hyrum),Elk,200,300,,200,200,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1284,Panguitch Lake,Elk,35,55,,35,35,boundary_xlsx|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA1285,Panguitch Lake,Elk,35,25,,35,35,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA2033,Kamas,Elk,250,200,,250,250,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
EA2036,"Oquirrh-Stansbury, East",Elk,60,70,,60,60,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
MA1005,Morgan-South Rich,Moose,7,3,,7,7,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
MA1007,Morgan-South Rich,Moose,3,2,,3,3,boundary_xlsx|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
MA1008,"Wasatch Mtns, Salt Lake-Timpanogos",Moose,5,2,,5,5,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,PERMIT_VALUE_CONFLICT,Permit totals conflict across current evidence sources; crosswalk evidence must not override the value conflict by itself.
