hunt_code,reconciled_bucket,resolution_status,include_in_core_comparable_2026,resolution_rationale,universe_status,likely_cause,prefix,present_in_bible_years,present_in_2025_bible,present_in_2026_bible,present_in_live_2026_hunttable,present_in_database,hanumber_fetch_status,live_presence_status,live_comparison_status,live_shape_status,hunt_name,species,sex_type,weapon,hunt_type,live_res,live_nr,live_total,database_compared_res,database_compared_nr,database_compared_total,species_truth_direct_source_support,species_truth_direct_source_match_support,species_truth_conservation_source_support,species_truth_conservation_source_match_support,species_truth_source_families,species_truth_comparison_statuses,species_truth_total_values,permit_reconciliation_confidence,permit_reconciliation_winner,permit_reconciliation_recommended_total,permit_reconciliation_action,source_url
BI1000,SPORTSMAN_CONTINUITY_LAYER_REVIEW,REVIEW,maybe,"Sportsman codes are known continuing active permit hunts, but this row was not in 2025 BIBLE extraction.",LIVE_2026_NOT_IN_2025_BIBLE,SPORTSMAN_CURRENT_PLANNER,BI,2020|2021|2022|2023|2024,no,no,yes,yes,OK,LIVE_AND_DATABASE,BOTH_BLANK,LIVE_DWR_NO_QUOTA_PUBLISHED,Bison - Statewide Permit,Bison,Hunters Choice,Any Legal Weapon,Statewide,,,,,,,no,no,yes,yes,CONSERVATION_PERMITS_DIRECT,SOURCE_MATCHES_RECOMMENDED,,MEDIUM_SINGLE_SOURCE,UTAHDRAWS,1,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6505,POSSIBLE_DROPPED_OR_NOT_EXPOSED_FROM_2025,REVIEW,maybe,Present in 2025 BIBLE but absent from fresh 2026 DWR table; needs drop/rename/crosswalk review.,BIBLE_2025_NOT_IN_LIVE_2026_TABLE,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,BI,2020|2021|2022|2023|2024|2025,yes,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,,,,8,3,11,no,no,no,no,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,11,REVIEW_BEFORE_PROMOTION,
BI6506,POSSIBLE_DROPPED_OR_NOT_EXPOSED_FROM_2025,REVIEW,maybe,Present in 2025 BIBLE but absent from fresh 2026 DWR table; needs drop/rename/crosswalk review.,BIBLE_2025_NOT_IN_LIVE_2026_TABLE,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,BI,2020|2021|2022|2023|2024|2025,yes,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,,,,11,0,11,no,no,no,no,,,,HIGH_CONFIRMED_2PLUS,HANUMBER,11,PROMOTE_CANDIDATE_AFTER_REVIEW,
BI6527,CURRENT_PLANNER_EXTRA_REVIEW,REVIEW,maybe,Fresh DWR current planner row not in 2025 BIBLE; unresolved source-family status.,LIVE_2026_NOT_IN_2025_BIBLE,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,BI,,no,no,yes,yes,OK,LIVE_AND_DATABASE,BOTH_BLANK,LIVE_DWR_NO_QUOTA_PUBLISHED,Nine Mile,Bison,Hunters Choice,Any Legal Weapon,General Season,,,,,,,no,no,no,no,,,,NO_PERMIT_VALUE,NONE,,NO_CURRENT_PERMIT_VALUE_FOUND,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6529,POSSIBLE_DROPPED_OR_NOT_EXPOSED_FROM_2025,REVIEW,maybe,Present in 2025 BIBLE but absent from fresh 2026 DWR table; needs drop/rename/crosswalk review.,BIBLE_2025_NOT_IN_LIVE_2026_TABLE,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,BI,2022|2023|2024|2025,yes,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,"Book Cliffs, Little Creek/South",Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,,,,8,0,8,no,no,no,no,,,,HIGH_CONFIRMED_2PLUS,HANUMBER,8,PROMOTE_CANDIDATE_AFTER_REVIEW,
BI6530,DATABASE_REFERENCE_NOT_LIVE_TABLE,REVIEW,no,Database row is not exposed by the fresh DWR live table; do not count as active core without source review.,DATABASE_NOT_IN_LIVE_TABLE,DATABASE_REFERENCE_OR_ARCHIVE_REVIEW,BI,2022|2023|2024,no,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,,,,3,1,4,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HANUMBER,4,PROMOTE_CANDIDATE_AFTER_REVIEW,
BI6536,POSSIBLE_DROPPED_OR_NOT_EXPOSED_FROM_2025,REVIEW,maybe,Present in 2025 BIBLE but absent from fresh 2026 DWR table; needs drop/rename/crosswalk review.,BIBLE_2025_NOT_IN_LIVE_2026_TABLE,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,BI,2022|2023|2024|2025,yes,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,"Book Cliffs, Bitter Creek",Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,,,,15,0,15,no,no,no,no,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,15,REVIEW_BEFORE_PROMOTION,
BI6539,DATABASE_REFERENCE_NOT_LIVE_TABLE,REVIEW,no,Database row is not exposed by the fresh DWR live table; do not count as active core without source review.,DATABASE_NOT_IN_LIVE_TABLE,DATABASE_REFERENCE_OR_ARCHIVE_REVIEW,BI,,no,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,,,,11,0,11,no,no,no,no,,,,HIGH_CONFIRMED_2PLUS,HANUMBER,11,PROMOTE_CANDIDATE_AFTER_REVIEW,
BR1000,SPORTSMAN_CONTINUITY_LAYER_REVIEW,REVIEW,maybe,"Sportsman codes are known continuing active permit hunts, but this row was not in 2025 BIBLE extraction.",LIVE_2026_NOT_IN_2025_BIBLE,SPORTSMAN_CURRENT_PLANNER,BR,2020|2021|2022|2023|2024,no,no,yes,yes,OK,LIVE_AND_DATABASE,BOTH_BLANK,LIVE_DWR_NO_QUOTA_PUBLISHED,Black Bear - Statewide Permit,Black Bear,Either Sex,Any Legal Weapon,Statewide,,,,,,,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,UTAHDRAWS,1,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex
BR1001,CURRENT_PLANNER_EXTRA_REVIEW,REVIEW,maybe,Fresh DWR current planner row not in 2025 BIBLE; unresolved source-family status.,LIVE_2026_NOT_IN_2025_BIBLE,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,BR,,no,no,yes,yes,OK,LIVE_AND_DATABASE,BOTH_BLANK,LIVE_DWR_NO_QUOTA_PUBLISHED,Black Bear Harvest Objective Units,Black Bear,Either Sex,Any Legal Weapon,Harvest Objective,,,,,,,no,no,no,no,,,,NO_PERMIT_VALUE,NONE,,NO_CURRENT_PERMIT_VALUE_FOUND,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex
